episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
1,130.0,385,385,1.0,nan,0.6388921699999628,True,False
2,430.0,712,1097,0.25,0.022986094779334963,2.318576248999989,True,False
3,520.0,634,1731,0.25,0.027582202832836397,8.086337757000024,True,False
4,830.0,632,2363,0.25,0.027991574490811275,11.636381352000058,True,False
5,430.0,525,2888,0.25,0.029460413230646573,13.383685090999961,True,False
6,2430.0,784,3672,0.25,0.034968600031083485,15.955739386000005,True,False
7,400.0,614,4286,0.25,0.03465622041589014,18.40490782200004,True,False
8,750.0,783,5069,0.25,0.03618054163739636,21.50196139700006,True,False
9,430.0,439,5508,0.25,0.0344839979333549,23.005475183000044,True,False
10,250.0,426,5934,0.25,0.0364455640028266,24.47272705900002,True,False
11,1260.0,699,6633,0.25,0.038814554065465925,26.76423004800006,True,False
12,900.0,601,7234,0.25,0.03973166588538637,28.76376647999996,True,False
13,500.0,422,7656,0.25,0.040159749818245334,30.60191605900002,True,False
14,610.0,722,8378,0.25,0.03931137089320044,33.37114599200004,True,False
15,2080.0,858,9236,0.25,0.03756589368635485,36.17202784599999,True,False
16,530.0,523,9759,0.25,0.040556029941385185,37.918399556000054,True,False
17,1130.0,774,10533,0.25,0.04253030246838966,40.447027355000046,True,False
18,1030.0,638,11171,0.25,0.03795469360303064,42.772198978000006,True,False
19,1320.0,697,11868,0.25,0.04244862185391997,45.51804408700002,True,False
20,650.0,713,12581,0.25,0.03974481800890245,47.848061207,True,False
21,750.0,745,13326,0.25,0.03692107150075777,50.289503009999976,True,False
22,910.0,871,14197,0.25,0.037750184182462135,53.12455473500006,True,False
23,500.0,489,14686,0.25,0.03534231388742928,54.961123379000014,True,False
24,320.0,372,15058,0.25,0.03802533397921712,56.789014555999984,True,False
25,380.0,458,15516,0.25,0.03788137822209493,58.43959272699999,True,False
26,500.0,493,16009,0.25,0.03941847757830065,61.92594938599996,True,False
27,380.0,594,16603,0.25,0.04357939333390646,63.88838284799999,True,False
28,200.0,370,16973,0.25,0.03762677674412086,65.19266285200001,True,False
29,480.0,470,17443,0.25,0.04023038512732611,66.81847342800006,True,False
30,710.0,815,18258,0.25,0.041276012906832076,70.01977534299999,True,False
31,2510.0,922,19180,0.25,0.04577742621617077,72.99323591699999,True,False
32,270.0,365,19545,0.25,0.04725848553845516,74.262382678,True,False
33,1060.0,988,20533,0.25,0.046313533778132694,77.52765700999998,True,False
34,640.0,733,21266,0.25,0.04035177295060594,80.16148549100001,True,False
35,240.0,370,21636,0.25,0.04094684467480708,81.971682095,True,False
36,1240.0,837,22473,0.25,0.04517284727490476,84.72562380199997,True,False
37,1130.0,602,23075,0.25,0.04176057131029665,86.741100297,True,False
38,460.0,552,23627,0.25,0.046019121739621936,88.65442328699999,True,False
